key,enabled,identity,password,username
user-account-auditor-01,true,"UserIdentity{name: '', surname: 'Sabido', email: 'fran@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: '', surname: 'Gonzalez', email: 'frank@acme.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: '', surname: 'Sabido', email: 'manu@acme.com'}",auditor3,auditor3
user-account-sponsor-01,true,"UserIdentity{name: '', surname: 'Sponsor', email: 'sponsor01@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: '', surname: 'Sponsor', email: 'sponsor02@acme.com'}",sponsor2,sponsor2
user-account-sponsor-03,true,"UserIdentity{name: '', surname: 'Sponsor', email: 'sponsor03@acme.com'}",sponsor3,sponsor3
user-account-fundraiser-01,true,"UserIdentity{name: '', surname: 'Lopez', email: 'miglop@acme.com'}",fundraiser1,fundraiser1
user-account-fundraiser-02,true,"UserIdentity{name: '', surname: 'Smith', email: 'mikesmith@acme.com'}",fundraiser2,fundraiser2
user-account-fundraiser-03,true,"UserIdentity{name: '', surname: 'Irving', email: 'michaelirv@acme.com'}",fundraiser3,fundraiser3
user-account-inventor-01,true,"UserIdentity{name: '', surname: 'Inventor', email: 'inventor01@acme.com'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: '', surname: 'Inventor', email: 'inventor02@acme.com'}",inventor2,inventor2
user-account-inventor-03,true,"UserIdentity{name: '', surname: 'Inventor', email: 'inventor03@acme.com'}",inventor3,inventor3
user-account-spokesperson-01,true,"UserIdentity{name: '', surname: 'Spokesperson', email: 'spokesperson01@acme.com'}",spokesperson1,spokesperson1
user-account-spokesperson-02,true,"UserIdentity{name: '', surname: 'Spokesperson', email: 'spokesperson02@acme.com'}",spokesperson2,spokesperson2
user-account-spokesperson-03,true,"UserIdentity{name: '', surname: 'Spokesperson', email: 'spokesperson03@acme.com'}",spokesperson3,spokesperson3
